lane,source_champion,source_slug,source_page_win_rate,opponent_champion,opponent_slug,win_rate,games,url,scraped_at_utc
support,Lux,lux,49.36,Poppy,poppy,51.57,287,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Pyke,pyke,47.16,1529,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Rakan,rakan,50.00,736,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Rell,rell,45.53,470,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Renata Glasc,renata,54.66,247,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Senna,senna,51.95,1203,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Seraphine,seraphine,49.37,1183,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Shaco,shaco,46.88,288,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Sona,sona,45.36,1391,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Soraka,soraka,48.63,1277,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Swain,swain,49.93,745,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Tahm Kench,tahmkench,46.75,492,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Taric,taric,53.97,239,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Thresh,thresh,48.52,3386,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Vel'Koz,velkoz,46.91,825,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Xerath,xerath,46.97,1188,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Yuumi,yuumi,48.59,1243,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Zilean,zilean,47.69,713,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Zoe,zoe,45.34,161,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Lux,lux,49.36,Zyra,zyra,45.51,769,https://op.gg/lol/champions/lux/counters/support,2026-02-13T18:25:13.877820+00:00
support,Maokai,maokai,52.41,Alistar,alistar,51.69,741,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Ashe,ashe,52.24,67,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Bard,bard,52.88,1042,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Blitzcrank,blitzcrank,50.09,549,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Brand,brand,50.81,248,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Braum,braum,49.71,1219,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Elise,elise,54.36,149,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Fiddlesticks,fiddlesticks,57.75,71,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
support,Maokai,maokai,52.41,Janna,janna,53.62,539,https://op.gg/lol/champions/maokai/counters/support,2026-02-13T18:25:21.947093+00:00
